time_us,edge,value
16,rise,8192
17,fall,8192
34,rise,16384
34,fall,16384
68,rise,32768
68,fall,32768
835,rise,8192
835,fall,8192
1656,rise,8192
1657,fall,8192
1674,rise,16384
1700,fall,16384
2476,rise,8192
2476,fall,8192
3298,rise,8192
3300,fall,8192
3315,rise,16384
3315,fall,16384
4117,rise,8192
4117,fall,8192
4940,rise,8192
4940,fall,8192
4957,rise,16384
4958,fall,16384
4991,rise,32768
4992,fall,32768
5758,rise,8192
5759,fall,8192
6580,rise,8192
6580,fall,8192
6597,rise,16384
6600,fall,16384
7400,rise,8192
7400,fall,8192
8221,rise,8192
8221,fall,8192
8239,rise,16384
8239,fall,16384
9041,rise,8192
9041,fall,8192
9863,rise,8192
9864,fall,8192
9881,rise,16384
9900,fall,16384
9915,rise,32768
9915,fall,32768
10682,rise,8192
10682,fall,8192
11495,rise,8192
11500,fall,8192
11513,rise,16384
11513,fall,16384
12315,rise,8192
12315,fall,8192
13136,rise,8192
13137,fall,8192
13154,rise,16384
13154,fall,16384
13956,rise,8192
13956,fall,8192
14779,rise,8192
14779,fall,8192
14796,rise,16384
14800,fall,16384
14830,rise,32768
14831,fall,32768
15597,rise,8192
15600,fall,8192
16419,rise,8192
16419,fall,8192
16436,rise,16384
16437,fall,16384
17238,rise,8192
17239,fall,8192
18060,rise,8192
18060,fall,8192
18077,rise,16384
18100,fall,16384
18880,rise,8192
18880,fall,8192
19702,rise,8192
19703,fall,8192
19720,rise,16384
19720,fall,16384
19754,rise,32768
19754,fall,32768
20521,rise,8192
20522,fall,8192
21343,rise,8192
21343,fall,8192
21360,rise,16384
21361,fall,16384
22154,rise,8192
22155,fall,8192
22976,rise,8192
22976,fall,8192
22993,rise,16384
23000,fall,16384
23796,rise,8192
23800,fall,8192
24618,rise,8192
24619,fall,8192
24636,rise,16384
24636,fall,16384
24670,rise,32768
24670,fall,32768
