time_us,event,arg,extra
0,3,0,0
4,5,1,995
7,6,0,2
16,4,0,0
29,7,4,0
47,6,2,0
999,1,0,0
1000,3,0,0
1008,5,1,992
1010,4,0,0
1011,7,4,0
1014,7,25,0
1054,7,25,1
1056,6,1,2
1064,7,2,0
1265,7,2,1
1270,6,2,1
1999,1,0,0
2000,3,0,0
2004,5,1,995
2007,6,0,2
2016,4,0,0
2029,7,4,0
2047,6,2,0
2999,1,0,0
3000,3,0,0
3004,5,1,995
3007,6,0,2
3016,4,0,0
3029,7,4,0
3047,6,2,0
3999,1,0,0
4000,3,0,0
4004,5,1,995
4007,6,0,2
4016,4,0,0
4029,7,4,0
4047,6,2,0
4999,1,0,0
5000,3,0,0
5004,5,1,995
5007,6,0,2
5016,4,0,0
5029,7,4,0
5047,6,2,0
5999,1,0,0
6000,3,0,0
6004,5,1,995
6007,6,0,2
6016,4,0,0
6029,7,4,0
6047,6,2,0
6999,1,0,0
7000,3,0,0
7004,5,1,995
7007,6,0,2
7016,4,0,0
7029,7,4,0
7047,6,2,0
7999,1,0,0
8000,3,0,0
8004,5,1,995
8007,6,0,2
8016,4,0,0
8029,7,4,0
8047,6,2,0
8999,1,0,0
9000,3,0,0
9004,5,1,995
9007,6,0,2
9016,4,0,0
9029,7,4,0
9047,6,2,0
9999,1,0,0
10000,3,0,0
10004,5,1,995
10007,6,0,2
10016,4,0,0
10029,7,4,0
10047,6,2,0
10999,1,0,0
11000,3,0,0
11006,5,1,994
11008,4,0,0
11009,7,4,0
11011,6,1,2
11019,7,25,0
11120,7,25,1
11125,6,2,1
11999,1,0,0
12000,3,0,0
12004,5,1,995
12007,6,0,2
12016,4,0,0
12029,7,4,0
12047,6,2,0
12999,1,0,0
13000,3,0,0
13004,5,1,995
13007,6,0,2
13016,4,0,0
13029,7,4,0
13047,6,2,0
13999,1,0,0
14000,3,0,0
14004,5,1,995
14007,6,0,2
14016,4,0,0
14029,7,4,0
14047,6,2,0
14999,1,0,0
15000,3,0,0
15004,5,1,995
15007,6,0,2
15016,4,0,0
15029,7,4,0
15047,6,2,0
15999,1,0,0
16000,3,0,0
16004,5,1,995
16007,6,0,2
16016,4,0,0
16029,7,4,0
16047,6,2,0
16999,1,0,0
17000,3,0,0
17004,5,1,995
17007,6,0,2
17016,4,0,0
17029,7,4,0
17047,6,2,0
17999,1,0,0
18000,3,0,0
18004,5,1,995
18007,6,0,2
18016,4,0,0
18029,7,4,0
18047,6,2,0
18999,1,0,0
19000,3,0,0
19004,5,1,995
19007,6,0,2
19016,4,0,0
19029,7,4,0
19047,6,2,0
19999,1,0,0
20000,3,0,0
20004,5,1,995
20007,6,0,2
20016,4,0,0
20029,7,4,0
20047,6,2,0
20999,1,0,0
21000,3,0,0
21010,5,1,990
21012,4,0,0
21013,7,4,0
21016,7,25,0
21056,7,25,1
21059,7,2,0
21139,7,2,1
21142,7,3,0
21147,7,3,1
21999,1,0,0
22000,3,0,0
22004,5,1,995
22007,6,0,2
22016,4,0,0
22029,7,4,0
22047,6,2,0
22999,1,0,0
23000,3,0,0
23004,5,1,995
23007,6,0,2
23016,4,0,0
23029,7,4,0
23047,6,2,0
23999,1,0,0
24000,3,0,0
24004,5,1,995
24007,6,0,2
24016,4,0,0
24029,7,4,0
24047,6,2,0
24999,1,0,0
25000,3,0,0
25004,5,1,995
25007,6,0,2
25016,4,0,0
25029,7,4,0
25047,6,2,0
25999,1,0,0
26000,3,0,0
26004,5,1,995
26007,6,0,2
26016,4,0,0
26029,7,4,0
26047,6,2,0
26999,1,0,0
27000,3,0,0
27004,5,1,995
27007,6,0,2
27016,4,0,0
27029,7,4,0
27047,6,2,0
27999,1,0,0
28000,3,0,0
28004,5,1,995
28007,6,0,2
28016,4,0,0
28029,7,4,0
28047,6,2,0
28999,1,0,0
29000,3,0,0
29004,5,1,995
29007,6,0,2
29016,4,0,0
29029,7,4,0
29047,6,2,0
29999,1,0,0
30000,3,0,0
30004,5,1,995
30007,6,0,2
30016,4,0,0
30029,7,4,0
30047,6,2,0
30999,1,0,0
31000,3,0,0
31006,5,1,994
31008,4,0,0
31009,7,4,0
31011,6,1,2
31019,7,25,0
31120,7,25,1
31125,6,2,1
31999,1,0,0
32000,3,0,0
32004,5,1,995
32007,6,0,2
32016,4,0,0
32029,7,4,0
32047,6,2,0
32999,1,0,0
33000,3,0,0
33004,5,1,995
33007,6,0,2
33016,4,0,0
33029,7,4,0
33047,6,2,0
33999,1,0,0
34000,3,0,0
34004,5,1,995
34007,6,0,2
34016,4,0,0
34029,7,4,0
34047,6,2,0
